id	alignedLength	type
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
a21663f7-d279-4e54-98ea-a1264ac1ed7a	726	annotated
3b81bff1-d18b-44e6-96a8-c691e497729a	166	NA
63ef861c-b2f2-4635-8c89-ed07aa8d3497	288	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	288	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	288	annotated
9db7a9ce-232d-41a8-b66d-ee16888c0c21	104	NA
22c25f7d-dce4-44cf-b18f-ed0bebb74ef6	259	NA
7c61714d-04fb-4f55-82aa-425053e2b875	314	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	314	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	440	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	440	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	440	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	440	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1672	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	246	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	589	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	775	annotated
