id	baseAccuracy	type
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0.928251121076233	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0.928251121076233	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0.904929577464789	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0.904929577464789	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0.904929577464789	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0.904929577464789	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0.904929577464789	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	0.771929824561403	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	0.936591041303083	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0.943396226415094	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0.943396226415094	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0.943396226415094	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0.943396226415094	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0.943396226415094	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	0.918918918918919	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	0.918918918918919	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	0.950549450549451	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	0.950549450549451	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	0.937888198757764	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	0.937888198757764	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	0.967391304347826	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	0.967391304347826	annotated
59446265-3cba-48f6-8889-abad1fca56d6	0.947916666666667	annotated
59446265-3cba-48f6-8889-abad1fca56d6	0.947916666666667	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	0.958677685950413	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	0.958677685950413	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	0.863366336633663	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	0.863366336633663	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	0.895299145299145	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	0.895299145299145	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	0.872340425531915	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	0.872340425531915	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	0.92984693877551	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	0.92984693877551	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	0.882175226586103	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	0.882175226586103	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	0.964601769911504	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	0.964601769911504	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	0.964601769911504	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	0.962825278810409	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	0.962825278810409	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	0.89060092449923	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	0.89060092449923	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	0.96875	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	0.96875	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	0.96875	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	0.926966292134832	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	0.926966292134832	annotated
100a5f30-3370-4d0d-a68d-95782262693d	0.926773455377574	annotated
100a5f30-3370-4d0d-a68d-95782262693d	0.926773455377574	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	0.985185185185185	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	0.985185185185185	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	0.985185185185185	annotated
d1686341-d059-4e13-8789-8b602ada6aac	0.943786982248521	annotated
d1686341-d059-4e13-8789-8b602ada6aac	0.943786982248521	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	0.935064935064935	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	0.935064935064935	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	0.89344262295082	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	0.89344262295082	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	0.940828402366864	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	0.940828402366864	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	0.941176470588235	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	0.941176470588235	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	0.938775510204082	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	0.938775510204082	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	0.919786096256685	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	0.919786096256685	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	0.891891891891892	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	0.891891891891892	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0.928251121076233	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0.928251121076233	annotated
