id	n_junction	type
4694e9a4-e8a3-4d3a-9389-a89e4810613d	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
744f037a-a766-4493-960d-014bca046d2a	0	NA
82aa13f0-ab08-45e3-9410-6c690161ed1a	0	NA
2e43f20e-6021-4bbd-b8ce-41e032da48d3	0	NA
87f5f036-8024-457c-8a2e-b7d823f11c57	0	NA
f257f991-a52f-4362-a553-8722138e5f5a	0	NA
d7aad7cb-b45d-4a12-9f02-3c92e2af5fc7	0	annotated
17be3f88-72f3-43b8-b239-75de66140df7	0	annotated
17be3f88-72f3-43b8-b239-75de66140df7	0	annotated
17be3f88-72f3-43b8-b239-75de66140df7	0	annotated
d8417292-3c94-41cc-b0c2-1f1daad2d3f5	0	NA
6eaa1df9-c761-42b9-9365-7fca89d96b56	0	annotated
6eaa1df9-c761-42b9-9365-7fca89d96b56	0	annotated
6eaa1df9-c761-42b9-9365-7fca89d96b56	0	annotated
37735fe2-273b-4ce2-b5fc-f48d5daa9c14	0	annotated
37735fe2-273b-4ce2-b5fc-f48d5daa9c14	0	annotated
37735fe2-273b-4ce2-b5fc-f48d5daa9c14	0	annotated
37735fe2-273b-4ce2-b5fc-f48d5daa9c14	0	annotated
12778c99-c602-4477-a06a-c6e1a0b495a2	0	annotated
12778c99-c602-4477-a06a-c6e1a0b495a2	0	annotated
12778c99-c602-4477-a06a-c6e1a0b495a2	0	annotated
12778c99-c602-4477-a06a-c6e1a0b495a2	0	annotated
12778c99-c602-4477-a06a-c6e1a0b495a2	0	annotated
10b49ba4-fc1e-4d71-a730-084c58dab253	0	annotated
3b6fe9e8-9711-4bfc-ab02-60bfc82aa083	0	annotated
f5a03fc4-21f1-4057-a01c-86bec77d1c46	0	NA
2f18858b-5bed-4c3c-9093-a2a9dd882367	0	NA
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
dec67ce6-f9ad-45fe-a7cd-669879b1570e	0	annotated
23f03ed0-04e2-4d0e-8eda-b367212476da	0	NA
4694e9a4-e8a3-4d3a-9389-a89e4810613d	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
52707741-e758-46cc-986e-b78205c08deb	0	annotated
d8417292-3c94-41cc-b0c2-1f1daad2d3f5	0	NA
974a77c4-abec-4469-9f4f-a39cfc3f936e	0	NA
d8417292-3c94-41cc-b0c2-1f1daad2d3f5	0	NA
ed65e7c8-d32a-4c86-98c5-a63a583b53fa	0	NA
40aa7512-e038-47cf-9ac8-b53a5954fa80	0	annotated
40aa7512-e038-47cf-9ac8-b53a5954fa80	0	annotated
40aa7512-e038-47cf-9ac8-b53a5954fa80	0	annotated
40aa7512-e038-47cf-9ac8-b53a5954fa80	0	annotated
40aa7512-e038-47cf-9ac8-b53a5954fa80	0	annotated
f0825495-6d79-4826-abaa-2151b6008b4e	1	annotated
f0825495-6d79-4826-abaa-2151b6008b4e	1	annotated
3b5014ea-9847-43e9-932c-ca3e6af2b6ba	0	annotated
3b5014ea-9847-43e9-932c-ca3e6af2b6ba	0	annotated
3b5014ea-9847-43e9-932c-ca3e6af2b6ba	0	annotated
3b5014ea-9847-43e9-932c-ca3e6af2b6ba	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
65f9c33c-605a-40a2-88d9-74101a297889	0	annotated
a6092406-66bf-4d34-a25c-ec40d775398e	0	annotated
a6092406-66bf-4d34-a25c-ec40d775398e	0	annotated
a6092406-66bf-4d34-a25c-ec40d775398e	0	annotated
a6092406-66bf-4d34-a25c-ec40d775398e	0	annotated
dc26f0ab-b936-4817-bfd5-f854d0f5e778	0	annotated
