id	n_junction	type
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	0	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	0	annotated
a21663f7-d279-4e54-98ea-a1264ac1ed7a	0	annotated
3b81bff1-d18b-44e6-96a8-c691e497729a	0	NA
63ef861c-b2f2-4635-8c89-ed07aa8d3497	0	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	0	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	0	annotated
9db7a9ce-232d-41a8-b66d-ee16888c0c21	0	NA
22c25f7d-dce4-44cf-b18f-ed0bebb74ef6	0	NA
7c61714d-04fb-4f55-82aa-425053e2b875	1	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0	NA
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	0	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	0	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	0	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	1	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0	NA
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	0	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	0	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	0	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	0	NA
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	0	NA
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
71246716-fff4-4d52-937c-9cb355d773ba	0	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	0	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	0	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	0	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	0	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	0	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	0	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	0	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	0	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	0	annotated
59446265-3cba-48f6-8889-abad1fca56d6	0	annotated
