id	junction_width	type
7c61714d-04fb-4f55-82aa-425053e2b875	176227	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	176227	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	133498	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	133498	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1464	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	879	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1460	annotated
964e1279-fa4a-4e55-9a47-2c758c34fd84	1191	annotated
964e1279-fa4a-4e55-9a47-2c758c34fd84	781	annotated
2b0f1d32-faac-4b9a-8455-bf3c1dd6a7b4	1111	annotated
2b0f1d32-faac-4b9a-8455-bf3c1dd6a7b4	205	annotated
2b0f1d32-faac-4b9a-8455-bf3c1dd6a7b4	4135	annotated
7253775b-c19f-45cf-9983-ca3d44c193ee	3356	NA
3cd05d9c-f62d-41a0-949e-269193299975	288	annotated
3cd05d9c-f62d-41a0-949e-269193299975	288	annotated
3cd05d9c-f62d-41a0-949e-269193299975	53	annotated
3cd05d9c-f62d-41a0-949e-269193299975	53	annotated
281d517f-2726-412d-8dfb-2551ca08f190	280	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	82	annotated
3843061c-1ef9-4c55-969c-1c80e0661864	82	annotated
1104497c-1749-4264-a8e5-fbaf0c7351b0	6352	annotated
1104497c-1749-4264-a8e5-fbaf0c7351b0	822	annotated
55aa8e5f-721c-47a6-8244-f3ac5721b8af	8270	annotated
fdf8a938-f67e-48b7-9fbd-3c577f10e0d4	6688	annotated
9a83bec9-2f26-4594-8ae9-e78c1e49d816	15762	annotated
69c33077-e6d7-4273-b7c0-79034351b72c	1315	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	475	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	475	annotated
56ce1560-78a0-4533-b7c7-5b312bd31df7	61	annotated
830478f4-75cb-4f20-aabd-289f767194a0	24905	annotated
813c7f31-a25f-4eda-b063-95779b1c3379	23729	NA
813c7f31-a25f-4eda-b063-95779b1c3379	843	NA
ec860a2e-54d4-4111-ba45-0a96bdcd5b22	1461	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	1010	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	1010	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	1010	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	331	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	167	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	2235	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	2190	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	1063	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	2557	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	1807	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	821	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	3897	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	8192	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	648	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	1457	annotated
5436072f-1389-4c08-bced-d216dc4f57bc	2557	annotated
e7af88cf-47a9-40f0-ab9d-35f1db4301f9	18965	annotated
e7af88cf-47a9-40f0-ab9d-35f1db4301f9	4601	annotated
