id	n_junction	type
74230129-1c0b-4aca-8163-64eb47ab8bc6	0	annotated
1911af63-f8fa-4b6a-9106-f42d60aca222	0	NA
c5a27022-bbab-4033-8057-914606a49af9	0	NA
0e0e168e-1607-4f23-94a2-30c9cd79af3e	0	annotated
0e0e168e-1607-4f23-94a2-30c9cd79af3e	0	annotated
0e0e168e-1607-4f23-94a2-30c9cd79af3e	0	annotated
840ffe71-fe31-465c-9f1d-80c6e5f4ebbe	0	annotated
840ffe71-fe31-465c-9f1d-80c6e5f4ebbe	0	annotated
7d8530a6-43b3-4695-8b83-52b772622506	0	NA
b2afd97b-564b-4404-9170-8192d0b5c943	0	NA
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
6159cf06-d07b-4fd9-8ed2-37a7af64805b	0	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1	annotated
3ba40f42-00b2-4479-a67f-c3ebf1af4bde	0	annotated
3ba40f42-00b2-4479-a67f-c3ebf1af4bde	0	annotated
3ba40f42-00b2-4479-a67f-c3ebf1af4bde	0	annotated
3ba40f42-00b2-4479-a67f-c3ebf1af4bde	0	annotated
3ba40f42-00b2-4479-a67f-c3ebf1af4bde	0	annotated
e7a0abfc-6be2-480b-9713-a43d15c4e7bb	0	NA
c2b53402-4ae3-4397-8186-e62c74e73a28	0	annotated
f5cdeddd-6c28-4488-901e-34e3660711a6	0	annotated
a2c4cfb1-7cc7-4c81-bc7b-d19d2834e771	0	annotated
a2c4cfb1-7cc7-4c81-bc7b-d19d2834e771	0	annotated
a2c4cfb1-7cc7-4c81-bc7b-d19d2834e771	0	annotated
a2c4cfb1-7cc7-4c81-bc7b-d19d2834e771	0	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
1e4d4eed-4cc5-4303-ab3f-d82840515821	1	annotated
7c5f2e29-2170-43ea-a2f9-0b83fbdcf853	0	annotated
7c5f2e29-2170-43ea-a2f9-0b83fbdcf853	0	annotated
7c5f2e29-2170-43ea-a2f9-0b83fbdcf853	0	annotated
7c5f2e29-2170-43ea-a2f9-0b83fbdcf853	0	annotated
7c5f2e29-2170-43ea-a2f9-0b83fbdcf853	0	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
f2dbc9da-e246-45a0-90c5-a40e95620931	2	annotated
b5394d2f-92c2-45e4-b1e9-61e521e62e31	0	annotated
b5394d2f-92c2-45e4-b1e9-61e521e62e31	0	annotated
b5394d2f-92c2-45e4-b1e9-61e521e62e31	0	annotated
b5394d2f-92c2-45e4-b1e9-61e521e62e31	0	annotated
7ee19d08-6d4f-48e1-97c7-70e5d49154a6	0	annotated
7ee19d08-6d4f-48e1-97c7-70e5d49154a6	0	annotated
2b96d6e5-7d97-44e5-ab27-3e521eea94f5	0	annotated
2b96d6e5-7d97-44e5-ab27-3e521eea94f5	0	annotated
2b96d6e5-7d97-44e5-ab27-3e521eea94f5	0	annotated
2b96d6e5-7d97-44e5-ab27-3e521eea94f5	0	annotated
5932a9d0-35b5-4786-ad2e-5a616b79ffac	0	annotated
5932a9d0-35b5-4786-ad2e-5a616b79ffac	0	annotated
5932a9d0-35b5-4786-ad2e-5a616b79ffac	0	annotated
5932a9d0-35b5-4786-ad2e-5a616b79ffac	0	annotated
5932a9d0-35b5-4786-ad2e-5a616b79ffac	0	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	1	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	1	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	1	annotated
7d91b9c5-46a2-43bc-bb18-9868f3ce68bd	0	annotated
7d91b9c5-46a2-43bc-bb18-9868f3ce68bd	0	annotated
7d91b9c5-46a2-43bc-bb18-9868f3ce68bd	0	annotated
7d91b9c5-46a2-43bc-bb18-9868f3ce68bd	0	annotated
6c8cd2f8-d593-4247-9b38-ac8a9437167d	0	annotated
6c8cd2f8-d593-4247-9b38-ac8a9437167d	0	annotated
6c8cd2f8-d593-4247-9b38-ac8a9437167d	0	annotated
6c8cd2f8-d593-4247-9b38-ac8a9437167d	0	annotated
cb3c8911-fd13-48f2-89c4-188315511e83	0	annotated
79a2f3ce-ad96-46d9-bdb4-7dccf9536941	0	annotated
79a2f3ce-ad96-46d9-bdb4-7dccf9536941	0	annotated
7a03a347-ada6-4335-a2b5-bb8a784c0e04	0	annotated
92610b9c-121f-44a3-bce6-da06edc203f0	0	annotated
92610b9c-121f-44a3-bce6-da06edc203f0	0	annotated
817b7841-b515-4a92-8bca-3eaea62837e0	0	annotated
817b7841-b515-4a92-8bca-3eaea62837e0	0	annotated
e9ed1bdd-433d-4f48-b135-8393a4f468d5	0	annotated
e9ed1bdd-433d-4f48-b135-8393a4f468d5	0	annotated
