id	junction_width	type
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	158	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	158	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	158	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	158	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	158	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	148	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	148	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	182	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	182	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	316	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	316	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	275	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	275	annotated
59446265-3cba-48f6-8889-abad1fca56d6	94	annotated
59446265-3cba-48f6-8889-abad1fca56d6	94	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	119	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	119	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	492	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	492	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	917	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	917	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	272	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	272	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	770	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	770	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	323	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	323	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	113	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	113	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	113	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	269	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	269	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	633	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	633	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	96	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	96	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	96	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	177	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	177	annotated
100a5f30-3370-4d0d-a68d-95782262693d	431	annotated
100a5f30-3370-4d0d-a68d-95782262693d	431	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	135	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	135	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	135	annotated
d1686341-d059-4e13-8789-8b602ada6aac	336	annotated
d1686341-d059-4e13-8789-8b602ada6aac	336	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	152	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	152	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	118	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	118	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	334	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	334	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	187	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	187	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	288	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	288	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	180	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	180	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	140	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	140	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	208	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	98	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	1363	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	154	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	154	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	154	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	154	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	154	annotated
9e9c15c1-7950-4ff6-866f-2ab98d704696	1327	annotated
9e9c15c1-7950-4ff6-866f-2ab98d704696	1327	annotated
b94c246f-928b-4fa3-b00b-cd855d09d56c	760	annotated
b94c246f-928b-4fa3-b00b-cd855d09d56c	760	annotated
5bd8ecc7-936b-4f34-ad40-e8c3a9f10597	1478	annotated
5bd8ecc7-936b-4f34-ad40-e8c3a9f10597	1478	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	88	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	88	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	88	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	88	annotated
2572fa06-7ff2-4f50-8496-63bd8a995f06	105	annotated
2572fa06-7ff2-4f50-8496-63bd8a995f06	105	annotated
b88c88a0-2f3a-4a21-a3d6-79c5c97d0a80	738	NA
0ab2b988-ca8a-42b6-9777-7c07b3aa7812	131	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	120	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	120	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	120	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	120	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	198	annotated
65ca21da-f6ce-4b28-9c2a-bc618c52f3f2	198	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	190	annotated
82d15f3d-1025-47c1-8a5e-6298317c5566	190	annotated
13369abb-a284-4d38-a161-fc9cf45b3550	420	NA
5aeb9253-d8e5-4e5e-9781-68411caff314	1016	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	122	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	122	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	122	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	122	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	119	annotated
18b2f586-ec04-46d0-93a8-9cf3491bd154	119	annotated
