id	junction_width	type
f0825495-6d79-4826-abaa-2151b6008b4e	3407	annotated
f0825495-6d79-4826-abaa-2151b6008b4e	3407	annotated
f0825495-6d79-4826-abaa-2151b6008b4e	3407	annotated
f0825495-6d79-4826-abaa-2151b6008b4e	3407	annotated
3d73c59e-452e-4396-be37-c7aec13037bd	213	annotated
3d73c59e-452e-4396-be37-c7aec13037bd	213	annotated
11948e26-fae7-4787-9a9b-dee454f2e60c	1878	annotated
11948e26-fae7-4787-9a9b-dee454f2e60c	1878	annotated
49e033fe-e728-4dad-830f-1905c2890ab5	60	annotated
49e033fe-e728-4dad-830f-1905c2890ab5	60	annotated
7ec9958e-bc4f-4c62-a268-0ea5ce207aa8	596	annotated
7ec9958e-bc4f-4c62-a268-0ea5ce207aa8	596	annotated
96c974d6-7e06-4222-ad34-9e0549df74b4	1613	annotated
96c974d6-7e06-4222-ad34-9e0549df74b4	1613	annotated
96c974d6-7e06-4222-ad34-9e0549df74b4	1613	annotated
89058056-d122-48e1-8ba0-302dff22093b	209	annotated
89058056-d122-48e1-8ba0-302dff22093b	209	annotated
fe9ce408-7e30-40e1-8628-cd45659b126a	3202	annotated
fe9ce408-7e30-40e1-8628-cd45659b126a	3202	annotated
fe9ce408-7e30-40e1-8628-cd45659b126a	3202	annotated
fe9ce408-7e30-40e1-8628-cd45659b126a	3202	annotated
d2ee90cb-72d3-4523-b3ce-d40ec07183f2	3308	annotated
d2ee90cb-72d3-4523-b3ce-d40ec07183f2	3308	annotated
5ec7b92f-7824-4545-b37c-3e784b33883c	3021	annotated
5ec7b92f-7824-4545-b37c-3e784b33883c	3021	annotated
613b5663-8768-4539-a9a5-b4a16bea61a4	89	annotated
613b5663-8768-4539-a9a5-b4a16bea61a4	89	annotated
9e87ad43-661d-4136-83ab-ba0b881cc9d5	125	annotated
9e87ad43-661d-4136-83ab-ba0b881cc9d5	125	annotated
d7ec7fa7-a3bd-4bf9-9d1f-f004d340421c	236	annotated
d7ec7fa7-a3bd-4bf9-9d1f-f004d340421c	236	annotated
d7ec7fa7-a3bd-4bf9-9d1f-f004d340421c	449	annotated
d7ec7fa7-a3bd-4bf9-9d1f-f004d340421c	449	annotated
f4b33d47-b829-47a8-811e-b879dbe9dad6	1671	annotated
f4b33d47-b829-47a8-811e-b879dbe9dad6	1671	annotated
06a90400-c10d-403c-bc58-850721c59d79	644	annotated
06a90400-c10d-403c-bc58-850721c59d79	644	annotated
ef1ed365-6d21-49fa-8ed5-4d0010ca65b5	443	annotated
ef1ed365-6d21-49fa-8ed5-4d0010ca65b5	443	annotated
ef1ed365-6d21-49fa-8ed5-4d0010ca65b5	443	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
7352a532-76c2-4965-ae54-ca3f0b92e4c4	1466	annotated
b07c0268-b28e-44ca-9fc2-0bead920b66a	945	annotated
b07c0268-b28e-44ca-9fc2-0bead920b66a	945	annotated
b07c0268-b28e-44ca-9fc2-0bead920b66a	945	annotated
b07c0268-b28e-44ca-9fc2-0bead920b66a	945	annotated
960cff94-71f7-4da2-be22-d3e0e0fc14a3	265	annotated
960cff94-71f7-4da2-be22-d3e0e0fc14a3	265	annotated
2b7e1bba-4af6-4ba5-971e-2c72bbac5451	706	annotated
2b7e1bba-4af6-4ba5-971e-2c72bbac5451	706	annotated
91ebbaa3-46d5-476d-b2ec-61057f9e8a03	856	annotated
